REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
115;TAMBOR PRODUÇÕES CINEMATOGRÁFICAS LTDA;03.273.012/0001-88;44203;CAFE ROYAL FILMES LTDA;34.258.649/0001-29;COLIGAÇÃO;15/08/2023
118;PARAMOUNT HOME ENTERTAINMENT (BRAZIL) LTDA.;29.027.687/0001-30;33787;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;COLIGAÇÃO;30/06/2022
121;MISTER GRAFIX PRODUÇÕES LTDA;72.618.820/0001-52;122;CENA 1 PRODUÇÕES LTDA;02.899.751/0001-17;COLIGAÇÃO;13/12/2023
121;MISTER GRAFIX PRODUÇÕES LTDA;72.618.820/0001-52;43305;5600K PRODUÇÕES LTDA;33.643.237/0001-40;COLIGAÇÃO;26/06/2019
122;CENA 1 PRODUÇÕES LTDA;02.899.751/0001-17;121;MISTER GRAFIX PRODUÇÕES LTDA;72.618.820/0001-52;COLIGAÇÃO;04/03/2013
122;CENA 1 PRODUÇÕES LTDA;02.899.751/0001-17;43305;5600K PRODUÇÕES LTDA;33.643.237/0001-40;COLIGAÇÃO;26/06/2019
123;S FILMES PRODUÇÃO LTDA;60.901.121/0001-36;43157;ROOFTOPAUGUSTA PRODUCAO E COMUNICACAO CULTURAL LTDA;26.757.325/0001-07;COLIGAÇÃO;02/12/2019
127;SP TELEFILM PRODUÇÕES EM CINE VT LTDA;96.434.063/0001-25;4066;SERRES PRODUCOES EM CINE -VT EIRELI;67.414.508/0001-07;COLIGAÇÃO;12/06/2024
131;SKY SERVICOS DE BANDA LARGA LTDA.;00.497.373/0001-10;48118;STREAMCO DISTRIBUIÇÃO DE VIDEO BRASIL LTDA;35.473.202/0001-35;COLIGAÇÃO;14/05/2021
132;PRODUTORA DE CINEMA E FILMES ASSOCIADOS LTDA.;01.648.742/0001-90;29;DREAM FILMES ASSOCIADOS LTDA;01.629.547/0001-13;COLIGAÇÃO;20/09/2022
133;CASA DE CINEMA DE PORTO ALEGRE LTDA.;94.625.829/0001-23;18589;ANJO PRODUCOES CINEMATOGRAFICAS LTDA;02.471.113/0001-09;COLIGAÇÃO;22/05/2020
