REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
30670;MUSICKERIA ENTRETENIMENTO LTDA;16.098.086/0001-77;37591;DIG NOG PRODUÇÕES LTDA - EPP;10.545.718/0001-17;COLIGAÇÃO;27/02/2023
30674;IDENTIGRAF DESIGN E IMPRESSOS LTDA;01.136.884/0001-79;44614;DATA PRODUÇÃO DE EVENTOS E PROPAGANDA LTDA;11.965.350/0001-09;COLIGAÇÃO;22/11/2019
30676;UNO CRIATIVO PRODUÇÕES E EVENTOS LTDA;17.935.845/0001-71;58523;UNO FILMES RIO LTDA;48.750.156/0001-16;COLIGAÇÃO;24/06/2024
30677;FILMMAKERBR PRODUCOES LTDA;21.177.996/0001-85;53744;CREATORSFD LTDA.;48.391.567/0001-62;COLIGAÇÃO;20/06/2023
30677;FILMMAKERBR PRODUCOES LTDA;21.177.996/0001-85;18713;ANRIETTI DEPTULSKI - EPP;13.407.315/0001-08;COLIGAÇÃO;10/10/2016
30680;P.NETTO E MEDEIROS LTDA ME;13.040.127/0001-86;42043;BERTONI COMUNICAÇÃO E EVENTOS EIRELI ME;11.868.902/0001-60;COLIGAÇÃO;17/01/2019
30680;P.NETTO E MEDEIROS LTDA ME;13.040.127/0001-86;43728;JOÃO JOSE PISTUM NETTO;23.375.424/0001-36;COLIGAÇÃO;12/08/2019
30702;ELÃ PRODUÇÕES EIRELI - ME;17.215.474/0001-53;31033;DAEMON FILMES LTDA ME;23.154.794/0001-43;COLIGAÇÃO;06/11/2020
30705;HANOI FILMES LTDA;22.529.278/0001-93;28030;SAIGON FILMES LTDA;20.975.417/0001-87;COLIGAÇÃO;13/02/2020
30712;KAIROS FILMES LTDA;21.422.978/0001-11;57777;MEIA NOITE FILMES LTDA;51.255.502/0001-02;COLIGAÇÃO;21/03/2024
30712;KAIROS FILMES LTDA;21.422.978/0001-11;14317;KINOSSAURUS FILMES LTDA.;02.282.322/0001-04;COLIGAÇÃO;29/03/2022
30717;ZEROPONTODOIS ENTRETENIMENTO LTDA;18.008.077/0001-73;58408;5D ENTRETENIMENTO LTDA;54.328.609/0001-13;COLIGAÇÃO;06/06/2024
30728;RIO CABLE SERVIÇOS DE TELECOMUNICAÇÕES LTDA ME;07.076.970/0001-10;46446;RIO CABLE TELECOM LTDA;13.537.127/0001-96;COLIGAÇÃO;09/02/2022
30731;E COMERCIAL FILMES LTDA - EPP;59.050.658/0001-50;7008;LEW,LARA PROPAGANDA E COMUNICAÇÃO LTDA.;59.733.030/0001-50;COLIGAÇÃO;01/12/2011
30735;HG PRODUÇÕES DE VÍDEO PARA PUBLICIDADE LTDA - ME;22.938.786/0001-25;42124;P7 PRODUCOES DE VIDEOS PARA PUBLICIDADES LTDA;32.365.442/0001-28;COLIGAÇÃO;31/01/2019
30741;EL RENO FITAS CINEMATOGRÁFICAS LTDA;22.660.026/0001-07;57682;MAR DE MORROS PRODUÇÕES AUDIOVISUAIS LTDA;46.964.642/0001-01;COLIGAÇÃO;12/03/2024
30741;EL RENO FITAS CINEMATOGRÁFICAS LTDA;22.660.026/0001-07;37251;SAMUEL DE O MAROTTA;14.374.851/0001-09;COLIGAÇÃO;27/02/2023
30761;RED STUDIO BRASIL PRODUCAO E ANIMACAO LTDA;22.910.094/0001-79;18480;ARTESÃ COMUNICAÇÃO E FILMES LTDA - ME;08.345.658/0001-47;COLIGAÇÃO;14/12/2021
30783;BRUNO DE OLIVEIRA VIANNA COSTA -ME;05.911.887/0001-93;27021;B-TEK IMAGENS LTDA;19.804.879/0001-52;COLIGAÇÃO;11/07/2019
30803;RISCO PRODUÇÕES LTDA;21.486.769/0001-31;14317;KINOSSAURUS FILMES LTDA.;02.282.322/0001-04;COLIGAÇÃO;29/03/2022
30840;ABAPORU NARRATIVAS VISUAIS LTDA;22.779.542/0001-47;17651;CASH COW - PRODUCÕES, COMUNICAÇÃO E MARKETING LTDA;03.754.267/0001-62;COLIGAÇÃO;04/03/2024
30842;DROMEDARIO CINEMA E VIDEO LTDA - EPP;22.971.615/0001-06;5060;ALDEIA PRODUÇÕES LTDA;07.496.159/0001-98;COLIGAÇÃO;18/01/2019
30860;SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA;14.716.352/0001-52;48333;LADYBIRD PRODUCAO DE FILMES LTDA.;40.001.435/0001-75;COLIGAÇÃO;05/05/2021
30860;SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA;14.716.352/0001-52;29429;THE END EDIÇÃO E POS-PRODUÇÃO LTDA;17.214.052/0001-63;COLIGAÇÃO;24/11/2022
30860;SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA;14.716.352/0001-52;1021;CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME;03.675.713/0001-43;COLIGAÇÃO;04/05/2021
30860;SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA;14.716.352/0001-52;48462;SUSTO PRODUÇÃO DE FILMES LTDA;41.670.839/0001-14;COLIGAÇÃO;06/02/2024
30860;SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA;14.716.352/0001-52;38276;ULTRAVIOLETA PRODUCAO AUDIOVISUAL LTDA;27.390.923/0001-53;COLIGAÇÃO;07/07/2022
30860;SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA;14.716.352/0001-52;11768;DELICATESSEN - PRODUÇÃO DE FILMES LTDA.;08.440.376/0001-29;COLIGAÇÃO;02/09/2022
30860;SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA;14.716.352/0001-52;47950;UTLD PRODUCAO DE FIMES LTDA;40.462.838/0001-11;COLIGAÇÃO;16/03/2021
30860;SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA;14.716.352/0001-52;47904;SEIVA PRODUCAO DE FILMES LTDA;40.473.692/0001-00;COLIGAÇÃO;11/03/2021
30867;AD PRODUÇÕES AVARÉ LTDA ME;22.831.307/0001-77;3347;CASE PROPAGANDA, ARTES E PRODUÇÕES LTDA;00.128.612/0001-64;COLIGAÇÃO;04/03/2013
30879;MARCHIORI & MACHADO REPRESENTAÇÕES LTDA;12.942.227/0001-35;25518;MAQUINA SET PRODUÇÕES CINEMATOGRÁFICAS LTDA-ME;04.429.302/0001-30;COLIGAÇÃO;04/12/2018
30885;LIGHTBULB FILMES, CRIAÇÕES E PRODUÇÕES LTDA. - ME;22.891.304/0001-29;25113;ZOOMOO PROGRAMADORA SA.;18.651.835/0001-77;COLIGAÇÃO;21/01/2020
30885;LIGHTBULB FILMES, CRIAÇÕES E PRODUÇÕES LTDA. - ME;22.891.304/0001-29;39468;GARDENIA PARTICIPAÇÕES LTDA;18.432.771/0001-13;COLIGAÇÃO;02/04/2024
30886;DRE PRODUCOES ARTISTICAS E CINEMATOGRAFICAS EIRELI;13.114.943/0001-97;15745;ANDRE DOS SANTOS CANTO DE OLIVEIRA;72.909.815/0001-07;COLIGAÇÃO;16/05/2024
30905;VIOLETA DIGITAL COMPANY PRODUCOES LTDA EPP;22.282.551/0001-28;23961;MUITO MAIS COMUNICACAO LTDA;05.355.143/0001-30;COLIGAÇÃO;10/03/2022
30907;MARCO ANTONIO NICK LAUAR MARTINS;14.502.749/0001-41;20610;ESCADA AMARELA CRIAÇÕES LTDA;12.656.197/0001-09;COLIGAÇÃO;18/03/2020
30919;LUIS CARLOS MARTINO JUNIOR;17.920.694/0001-88;39419;TOCAVIDEOS PRODUCAO AUDIOVISUAL LTDA ME;26.634.392/0001-34;COLIGAÇÃO;02/04/2024
30921;PHIL MILER PRODUÇÕES LTDA.;17.713.935/0001-18;30932;PHIL PRODUÇÕES LTDA.;17.713.941/0001-75;COLIGAÇÃO;06/11/2020
30921;PHIL MILER PRODUÇÕES LTDA.;17.713.935/0001-18;30936;PWA AUDIOVISUAL PRODUÇÕES LTDA.;07.756.721/0001-75;COLIGAÇÃO;06/11/2020
30922;CRISTIANO ZILLIG DE SOUZA - ME;17.678.631/0001-67;42055;BRAZUCA FILMES EIRELI;29.981.153/0001-49;COLIGAÇÃO;21/01/2019
30923;ANIMAZOO ENTRETENIMENTO LTDA;21.952.846/0001-00;24625;ANIMAZOO ENTRETENIMENTO INFANTIL LTDA;18.053.877/0001-06;COLIGAÇÃO;25/09/2023
30923;ANIMAZOO ENTRETENIMENTO LTDA;21.952.846/0001-00;33904;TELEVISÃO LAGES LTDA;83.012.013/0001-08;COLIGAÇÃO;23/08/2022
30925;FOREST - COMUNICAÇÃO SOCIOAMBIENTAL;21.567.273/0001-92;27029;FOREST COMUNICAÇÃO;14.139.914/0001-42;COLIGAÇÃO;11/07/2019
30925;FOREST - COMUNICAÇÃO SOCIOAMBIENTAL;21.567.273/0001-92;51630;AKWA PRODUÇÕES ARTÍSTICAS;46.124.383/0001-00;COLIGAÇÃO;15/07/2022
30929;CINEBRASIL PRODUCOES E ENTRETENIMENTO LTDA;22.975.781/0001-72;48645;SMART VIDEO PRODUCOES LTDA;41.394.540/0001-84;COLIGAÇÃO;16/06/2021
30932;PHIL PRODUÇÕES LTDA.;17.713.941/0001-75;30921;PHIL MILER PRODUÇÕES LTDA.;17.713.935/0001-18;COLIGAÇÃO;06/11/2020
30932;PHIL PRODUÇÕES LTDA.;17.713.941/0001-75;30936;PWA AUDIOVISUAL PRODUÇÕES LTDA.;07.756.721/0001-75;COLIGAÇÃO;06/11/2020
30933;PARCERIA 6 ASSESSORIA DE COMUNICAÇÃO SOCIEDADE SIMPLES LTDA;04.400.125/0001-60;49424;CREARTES PRODUÇÕES ARTÍSTICAS LTDA.;14.620.506/0001-08;COLIGAÇÃO;02/09/2021
30936;PWA AUDIOVISUAL PRODUÇÕES LTDA.;07.756.721/0001-75;30921;PHIL MILER PRODUÇÕES LTDA.;17.713.935/0001-18;COLIGAÇÃO;06/11/2020
30936;PWA AUDIOVISUAL PRODUÇÕES LTDA.;07.756.721/0001-75;30932;PHIL PRODUÇÕES LTDA.;17.713.941/0001-75;COLIGAÇÃO;06/11/2020
30937;DESKTOP S.A.;08.170.849/0001-15;35981;C-LIGUE TELECOMUNICAÇÕES S.A.;14.808.118/0001-55;CONTROLE;26/10/2021
30960;DIFUSOR EVENTOS LTDA;23.202.462/0001-97;27157;DIFUSOR CULTURAL LTDA;20.148.960/0001-00;COLIGAÇÃO;12/08/2019
30965;GOS CATALÀ H. FILMES LTDA.;23.154.046/0001-60;29756;GOMES LIMA PRODUÇÕES LTDA;09.123.958/0001-44;COLIGAÇÃO;17/07/2020
30976;ONSE FILMES LTDA - ME;22.656.616/0001-58;44926;BREITHNER MONTEIRO FILMES CRIAÇÕES E PRODUÇÕES LTDA;33.280.681/0001-48;COLIGAÇÃO;13/01/2020
30976;ONSE FILMES LTDA - ME;22.656.616/0001-58;24110;11 VISUALS PRODUÇÕES DE FILMES LTDA - ME;17.494.118/0001-16;COLIGAÇÃO;29/04/2024
31030;GONÇALVES CORDEIRO PROPAGANDA E MARKETING LTDA;10.014.687/0001-78;50796;SISTEMA FACTUAL DE COMUNICAÇÃO LTDA;18.030.547/0001-03;COLIGAÇÃO;23/03/2022
31030;GONÇALVES CORDEIRO PROPAGANDA E MARKETING LTDA;10.014.687/0001-78;32045;AGENCIA DE PUBLICIDADE E PROPAGANDA GC LTDA EPP;23.718.215/0001-48;COLIGAÇÃO;08/03/2021
31032;RAFAEL DA COSTA DA SILVA ***********;17.994.086/0001-18;41338;CACHOEIRA FILMES LTDA - EPP;27.592.561/0001-83;COLIGAÇÃO;12/06/2024
31033;DAEMON FILMES LTDA ME;23.154.794/0001-43;47780;HILDA STUDIOS LTDA;39.601.528/0001-51;COLIGAÇÃO;22/02/2021
31033;DAEMON FILMES LTDA ME;23.154.794/0001-43;30702;ELÃ PRODUÇÕES EIRELI - ME;17.215.474/0001-53;COLIGAÇÃO;14/09/2020
31090;A&D PUBLICIDADE E PROPAGANDA LTDA;09.359.694/0001-22;40743;A&D 360 OPERADORA DE MARKETING DIRETO LTDA;21.101.288/0001-60;COLIGAÇÃO;03/06/2024
31097;CINEMEIROS ARTES;01.917.010/0001-59;55768;REALIZAMOS ARTES LTDA;48.598.192/0001-06;COLIGAÇÃO;19/10/2023
31110;PG MUSIC PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA;02.046.051/0001-80;31864;ASSOCIAÇÃO CULTURAL CINECLUBE ARAUCÁRIA;13.832.553/0001-52;COLIGAÇÃO;10/02/2021
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;22729;REDECINE VALINHOS CINEMATOGRÁFICA LTDA;15.774.293/0001-31;COLIGAÇÃO;09/09/2022
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;2379;MOVIESYSTEM CINEMATOGRAFICA LTDA;04.533.831/0001-80;COLIGAÇÃO;27/09/2023
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;25182;REDECINE SUL CINEMAS LTDA.;18.672.374/0001-19;COLIGAÇÃO;18/03/2021
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;24534;REDECINE BSB CINEMATOGRÁFICA LTDA;18.087.870/0001-05;COLIGAÇÃO;11/05/2023
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;44914;REDECINE RIO GRANDE CINEMATOGRAFICA LTDA;35.804.953/0001-97;COLIGAÇÃO;09/01/2020
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;47520;NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA;14.859.056/0001-00;COLIGAÇÃO;11/01/2021
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;31741;REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA;23.669.825/0001-07;COLIGAÇÃO;16/03/2021
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;43781;REDECINE PINDAMONHANGABA CINEMAS LTDA;34.408.375/0001-07;COLIGAÇÃO;16/08/2019
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;2376;REDECINE TOTAL CINEMATOGRÁFICA LTDA;06.034.577/0001-09;COLIGAÇÃO;21/07/2021
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;24536;REDECINE MOGI GUAÇU CINEMATOGRÁFICA LTDA;16.888.328/0001-26;COLIGAÇÃO;29/04/2024
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;5654;REDECINE-CPQ CINEMATOGRÁFICA LTDA;07.665.262/0001-14;COLIGAÇÃO;12/11/2019
31135;REDECINE LONDRINA CINEMATOGRAFICA LTDA;21.923.650/0001-89;44837;REDECINE SANTOS CINEMATOGRAFICA LTDA;35.441.232/0001-60;COLIGAÇÃO;19/12/2019
31143;R.R AGENCIA DE MUSICA LTDA - ME;09.566.531/0001-10;57155;BANDA NX ZERO LTDA;10.597.153/0001-11;COLIGAÇÃO;12/01/2024
31185;MOVIOCA SALVADOR PRODUCOES ARTISTICAS LTDA ME;03.958.889/0001-02;22038;MOVIOCA PRODUÇÕES ARTÍSTICAS LTDA - ME;15.743.170/0001-33;COLIGAÇÃO;05/05/2023
31186;CABOCLA FILMES LTDA. ME;23.278.315/0001-09;5340;CABOCLA - PRODUÇÕES CINEMATOGRÁFICAS E ARTÍSTICAS;03.651.886/0001-21;COLIGAÇÃO;29/04/2024
31191;DIAMOND FILMS AMERICA PRODUCAO E DISTRIBUICAO AUDIOVISUAL LTDA;19.512.412/0001-39;44922;ATENEA PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;26.104.423/0001-45;COLIGAÇÃO;10/01/2020
31191;DIAMOND FILMS AMERICA PRODUCAO E DISTRIBUICAO AUDIOVISUAL LTDA;19.512.412/0001-39;31944;BRILHO FILMS PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;19.812.075/0001-03;COLIGAÇÃO;22/02/2023
31191;DIAMOND FILMS AMERICA PRODUCAO E DISTRIBUICAO AUDIOVISUAL LTDA;19.512.412/0001-39;22724;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;17.095.184/0001-13;COLIGAÇÃO;30/01/2024
31191;DIAMOND FILMS AMERICA PRODUCAO E DISTRIBUICAO AUDIOVISUAL LTDA;19.512.412/0001-39;42233;GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA;32.656.607/0001-10;COLIGAÇÃO;05/02/2024
31198;GATO PRETO FILMES PRODUCAO E DISTRIBUICAO IMPORTACAO E EXPORTACAO LTDA ­ ME;09.347.877/0001-28;38692;GATO PRETO FILMES EIRELI ME;26.243.849/0001-80;COLIGAÇÃO;21/03/2023
31198;GATO PRETO FILMES PRODUCAO E DISTRIBUICAO IMPORTACAO E EXPORTACAO LTDA ­ ME;09.347.877/0001-28;20905;LEONARDO HENRIQUE PEREIRA BRANCO ME;11.184.594/0001-54;COLIGAÇÃO;10/03/2017
31200;TOMMASO MOTTIRONI;13.187.019/0001-30;33764;CINECLUBE TORRES;15.324.175/0001-21;COLIGAÇÃO;07/12/2023
31220;PAULO CESAR BRANT ALVIM ***********;19.610.290/0001-13;43464;PAULO CÉSAR BRANT ALVIM;30.491.987/0001-55;COLIGAÇÃO;11/07/2019
31225;DB PRODUÇÃO AUDIOVISUAL LTDA;22.557.432/0001-30;23765;MIOLO FRITOS PRODUCOES CINEMATOGRAFICAS LTDA;07.293.692/0001-52;COLIGAÇÃO;08/10/2019
31243;KRIOCA CONSULTORIA DE NEGOCIOS E COMUNICACAO LTDA.;20.463.541/0001-63;55907;INSTITUTO DE CULTURA, EDUCACAO, PESQUISA E AUDIOVISUAL ARANDU DA AMAZONIA-IAA;50.819.723/0001-95;COLIGAÇÃO;23/10/2023
31244;TATIANI GARCIA DE FARIA ***********;21.714.169/0001-83;34288;TATIANI GARCIA DE FARIA;25.162.480/0001-18;COLIGAÇÃO;21/12/2021
31272;HOGARTH WORLDWIDE PRODUÇÃO LTDA.;23.314.398/0001-36;26390;HOGARTH WORLDWIDE PUBLICIDADE BRASIL LTDA;18.009.420/0001-02;COLIGAÇÃO;14/02/2019
31272;HOGARTH WORLDWIDE PRODUÇÃO LTDA.;23.314.398/0001-36;38317;MUTATO PRODUÇÃO LTDA;28.773.148/0001-88;COLIGAÇÃO;12/06/2024
31274;LOVIDEO FILMES LTDA - ME;22.800.116/0001-48;6407;AIA - PRODUTORA DE VÍDEOS E FILMES LTDA;06.889.292/0001-41;COLIGAÇÃO;06/01/2017
31290;PULP-PRODUTORA AUDIOVISUAL E SERVICOS LTDA;04.638.826/0001-31;37396;PULP SOLUCOES AUDIOVISUAL E PRODUCAO LTDA - ME;26.103.021/0001-26;COLIGAÇÃO;27/02/2023
31290;PULP-PRODUTORA AUDIOVISUAL E SERVICOS LTDA;04.638.826/0001-31;18598;RTI 4 - SERVIÇOS DE RASTREAMENTO E TECNOLOGIA DA INFORMAÇÃO LTDA - ME;05.136.781/0001-60;COLIGAÇÃO;04/03/2013
31295;AREA CREATIVE COMPUTACAO GRAFICA EIRELI - EPP;23.266.949/0001-33;20744;VIRTUA SERVIÇOS CINEMATOGRÁFICOS LTDA.;01.101.759/0001-23;COLIGAÇÃO;09/03/2017
31296;MARAHU PRODUCOES DE CINEMA E TELEVISAO LTDA;22.446.460/0001-80;19413;CLARTE SERVIÇOS DE FOTO E CINEMA LTDA ME;12.475.126/0001-00;COLIGAÇÃO;04/05/2023
31298;LAMPARINA PRODUÇÃO AUDIOVISUAL LTDA;23.330.027/0001-48;21880;LAMPARINA ANIMACAO E PRODUCAO DE VIDEOS LTDA;15.667.476/0001-58;COLIGAÇÃO;03/03/2021
31299;UMBRELLA FILMES LTDA - ME;23.373.702/0001-16;6412;IDÉIA PRODUÇÕES DE EVENTOS EIRELI - ME;07.875.582/0001-07;COLIGAÇÃO;15/10/2021
31310;EDOARDO RIVETTI - ME;12.236.522/0001-76;15639;NEW CONTENT EDITORA E PRODUTORA LTDA;08.948.263/0001-39;COLIGAÇÃO;04/12/2018
31310;EDOARDO RIVETTI - ME;12.236.522/0001-76;40415;RIVETTI, FERES E ALCÂNTARA PARTICIPAÇÃO S.A.;07.920.282/0001-94;COLIGAÇÃO;12/06/2024
31314;CINEMAS HENKES RIBEIRO UNAI LTDA;18.501.407/0001-68;23499;CINEMAS HENKES RIBEIRO LTDA ME;37.897.907/0001-05;COLIGAÇÃO;20/11/2023
31314;CINEMAS HENKES RIBEIRO UNAI LTDA;18.501.407/0001-68;19456;CINEMAS SANTOS RIBEIRO LTDA ME;08.708.519/0001-30;COLIGAÇÃO;08/03/2022
31314;CINEMAS HENKES RIBEIRO UNAI LTDA;18.501.407/0001-68;52398;HENKES E RIBEIRO BARREIRAS LTDA;47.500.783/0001-36;COLIGAÇÃO;22/11/2022
31314;CINEMAS HENKES RIBEIRO UNAI LTDA;18.501.407/0001-68;37001;CINEMAS RIBEIRO HENKES BARREIRAS LTDA ME;26.627.435/0001-54;COLIGAÇÃO;23/06/2022
31330;ESTUDIO SOLO LTDA -ME;22.114.735/0001-89;26855;GUILHERME DAVI ROHR ***********;15.215.431/0001-42;COLIGAÇÃO;11/07/2019
31334;SD PRODUCOES CINEMATOGRAFICAS LTDA ME;18.409.561/0001-04;38101;PLONGEE 360 PRODUÇÃO E ARTE LTDA;28.772.086/0001-90;COLIGAÇÃO;06/04/2023
31337;IPECINE - INSTITUTO DE PESQUISA E ESTUDOS CINEMATOGRAFICOS EIRELI;21.940.608/0001-76;34499;M. P. NOGUEIRA FILHO;19.992.074/0001-80;COLIGAÇÃO;09/03/2023
31345;D+ PROJETOS ARTÍSTICOS LTDA.;17.687.399/0001-23;37897;QUARTETO EVENTOS E PRODUÇÕES LTDA;02.158.397/0001-70;COLIGAÇÃO;11/05/2023
31365;FELIPE DE OLIVEIRA BEZERRA ***********;19.100.810/0001-48;44193;POST IT POS-PRODUCOES LTDA;10.626.854/0001-31;COLIGAÇÃO;13/04/2022
31387;POPLICOLA FILMES E ARTES VISUAIS LTDA ME;22.948.227/0001-04;27918;4 GATOS PINGADOS COMUNICAÇÃO E ARTES VISUAIS LTDA;09.143.204/0001-56;COLIGAÇÃO;17/12/2019
31390;AGENCIA MOUSTACHE LTDA ME;14.135.564/0001-46;53559;AGÊNCIA DIGITAL MOUSTACHE LTDA;34.677.938/0001-62;COLIGAÇÃO;02/06/2023
31396;MANDRILL FILMES EIRELI ME;19.416.363/0001-30;48193;MB PRODUCAO CINEMATOGRAFICA LTDA;35.240.376/0001-58;COLIGAÇÃO;15/04/2021
31430;AMBIENTAL OFFICE SERVIÇOS LTDA;12.923.799/0001-77;51225;TUMPATS AUDIO LTDA;20.765.237/0001-70;COLIGAÇÃO;18/05/2022
31433;BRASILIANA RIO PRODUCOES ARTISTICAS LTDA;15.657.058/0001-80;57120;PARA VIGO ME VOY CINEMATOGRAFICA LTDA;47.606.738/0001-60;COLIGAÇÃO;09/01/2024
31442;BRIGADEIRO BENTES PRODUCOES LTDA;22.493.404/0001-05;51115;MOLIVE PRODUCOES AUDIOVISUAIS LTDA;39.226.435/0001-94;COLIGAÇÃO;04/05/2022
31454;L. H. DE BRITES COMUNICAÇÕES - ME;20.846.362/0001-05;42122;BOLO PRODUCAO DE FILMES LTDA;31.283.802/0001-80;COLIGAÇÃO;30/01/2019
31459;DOGON GESTAO DE CONTEUDO LTDA;23.046.389/0001-01;30414;JOINT ABC PUBLICIDADE E PROMOCOES LTDA - EPP;57.346.611/0001-03;COLIGAÇÃO;14/09/2020
31482;4 PONTAS PRODUÇÕES ARTÍSTICAS LTDA;12.427.430/0001-73;49860;F&F PRODUÇÕES ARTÍSTICAS LTDA;36.741.113/0001-95;COLIGAÇÃO;27/10/2021
31484;DANILO STAEL CONCEIÇÃO DOS SANTOS - ME;23.624.812/0001-03;55934;XAM DESIGN PRODUCAO CINEMATOGRAFICA LTDA;52.275.875/0001-08;COLIGAÇÃO;24/10/2023
31487;MACROVISION PRODUÇÕES COMERCIO E SERVIÇOS DE VIDEO LTDA ME;07.976.253/0001-44;870;MAC PRODUÇÕES EM VÍDEO E COMERCIO LTDA;39.201.314/0001-98;COLIGAÇÃO;17/12/2019
31512;LJ PRODUÇÕES FOTOGRAFICAS LTDA.;03.543.173/0001-44;46210;VAPOR DIGITAL PRODUCÃO E COMUNICAÇÃO LDTA.;30.934.864/0001-41;COLIGAÇÃO;29/07/2020
31533;BEATRIZ POLATI DE CARVALHO -ME;22.794.289/0001-09;14499;KLAXON CULTURA AUDIOVISUAL LTDA-ME;09.397.798/0001-21;COLIGAÇÃO;14/01/2022
31560;GABRIELA MACHADO BRIGAGAO ***********;22.268.426/0001-63;39593;INSULA FILMES LTDA;30.147.642/0001-89;COLIGAÇÃO;26/03/2024
31571;R.L. DE ARRUDA FILHO - FILMES - ME;23.024.509/0001-70;52662;RTV FILMES LTDA;48.942.689/0001-08;COLIGAÇÃO;19/01/2023
31571;R.L. DE ARRUDA FILHO - FILMES - ME;23.024.509/0001-70;37607;RTV PRODUTORA LTDA EPP;24.078.533/0001-54;COLIGAÇÃO;24/06/2024
31571;R.L. DE ARRUDA FILHO - FILMES - ME;23.024.509/0001-70;33204;RTV DIGITAL LTDA - EPP;24.053.006/0001-95;COLIGAÇÃO;11/05/2022
31572;SEVEN CAST BRASIL STUDIOS E PRODUÇÕES LTDA - EPP;22.526.769/0001-80;45422;55 STUDIOS E PRODUCOES EIRELI;35.524.311/0001-34;COLIGAÇÃO;30/03/2020
31579;AMPLUS PUBLICIDADE E MARKETING LIMITADA;22.575.830/0001-80;47408;AMPLUS JOINVILLE PUBLICIDADE E MARKETING LIMITADA;26.087.405/0001-00;COLIGAÇÃO;20/08/2021
31580;MEU SUCESSO EMPREENDEDORISMO S/A;20.095.920/0001-48;11753;CENTRAL DE PRODUÇÕES GWUP S/A;01.959.772/0001-18;COLIGAÇÃO;11/07/2019
31584;ASSOCIAÇÃO DE TV COMUNITÁRIA MARECHAL;17.073.434/0001-14;46925;COSTA OESTE PRODUCOES DE PUBLICIDADES LTDA;37.211.538/0001-55;COLIGAÇÃO;08/10/2020
31585;D.P. MALACHIAS - FILMES - ME;23.024.523/0001-73;37607;RTV PRODUTORA LTDA EPP;24.078.533/0001-54;COLIGAÇÃO;24/06/2024
31585;D.P. MALACHIAS - FILMES - ME;23.024.523/0001-73;33204;RTV DIGITAL LTDA - EPP;24.053.006/0001-95;COLIGAÇÃO;11/05/2022
31586;CLARIO FILMES LTDA;22.889.475/0001-13;44525;TRUCO-SEIS FILMES LTDA;34.832.081/0001-08;COLIGAÇÃO;08/11/2019
31592;BUDAPESTE PRODUCOES LTDA;05.078.668/0001-75;40916;CA VA ARTES E PRODUCOES LTDA;31.097.338/0001-37;COLIGAÇÃO;10/06/2022
31599;FREE SPIRIT CONSULTORIA E EVENTOS LTDA.;18.625.098/0001-38;54410;JAMBU AGENCIA DE PUBLICIDADE LTDA;29.665.388/0001-21;COLIGAÇÃO;15/08/2023
31599;FREE SPIRIT CONSULTORIA E EVENTOS LTDA.;18.625.098/0001-38;32566;CCUCA - COLETIVO CULTURAL DO CAJU LTDA;13.373.693/0001-00;COLIGAÇÃO;15/08/2023
31620;MANOELA DE A CRUZ PRODUCOES E SERVICOS EIRELI;17.861.379/0001-27;40774;KOMK PRODUÇÕES ARTÍSTICAS LTDA;24.808.843/0001-87;COLIGAÇÃO;16/05/2024
